N	Density	Threshold	Iterations	Time(ms)	MaxError	IterSaved%
20	2	1e-1	8	0.081	1.2665e+2	97.3%
20	2	1e-3	54	0.793	1.9003e+0	81.6%
20	2	1e-5	107	1.211	1.9026e-2	63.5%
20	2	1e-6	134	1.615	1.8250e-3	54.3%
20	2	1e-7	160	1.869	1.9093e-4	45.4%
20	2	1e-8	187	1.368	1.8314e-5	36.2%
20	2	1e-9	214	0.174	1.7568e-6	27.0%
20	2	1e-12	293	0.285	5.4806e-9	0.0%
20	10	1e-1	4	0.022	3.5607e+1	95.6%
20	10	1e-3	18	0.037	5.1115e-1	80.2%
20	10	1e-5	34	0.057	5.1941e-3	62.6%
20	10	1e-6	43	0.137	3.9535e-4	52.7%
20	10	1e-7	51	0.081	4.0070e-5	44.0%
20	10	1e-8	59	0.090	4.0576e-6	35.2%
20	10	1e-9	67	0.111	4.0797e-7	26.4%
20	10	1e-12	91	0.145	4.2814e-10	0.0%
100	2	1e-1	8	0.097	1.2195e+2	96.8%
100	2	1e-3	49	3.413	1.5684e+0	80.6%
100	2	1e-5	94	5.595	1.5124e-2	62.7%
100	2	1e-6	116	9.888	1.5809e-3	54.0%
100	2	1e-7	139	17.389	1.4999e-4	44.8%
100	2	1e-8	161	0.656	1.5832e-5	36.1%
100	2	1e-9	184	0.827	1.5124e-6	27.0%
100	2	1e-12	252	1.133	1.4761e-9	0.0%
100	10	1e-1	4	0.170	3.9896e+1	95.8%
100	10	1e-3	19	0.280	5.4610e-1	80.2%
100	10	1e-5	36	0.410	5.3071e-3	62.5%
100	10	1e-6	45	0.491	4.6669e-4	53.1%
100	10	1e-7	53	0.630	5.4161e-5	44.8%
100	10	1e-8	62	0.662	4.8317e-6	35.4%
100	10	1e-9	71	0.897	4.3331e-7	26.0%
100	10	1e-12	96	1.071	5.4501e-10	0.0%
500	2	1e-1	8	0.230	1.7896e+2	98.2%
500	2	1e-3	74	1.960	2.8147e+0	83.1%
500	2	1e-5	154	4.124	2.8679e-2	64.8%
500	2	1e-6	194	5.216	2.9316e-3	55.6%
500	2	1e-7	235	6.232	2.8397e-4	46.2%
500	2	1e-8	275	6.917	2.9174e-5	37.1%
500	2	1e-9	316	8.006	2.8376e-6	27.7%
500	2	1e-12	437	10.848	2.9172e-9	0.0%
500	10	1e-1	5	0.341	4.7992e+1	95.9%
500	10	1e-3	24	1.515	6.5111e-1	80.2%
500	10	1e-5	45	2.857	7.1530e-3	62.8%
500	10	1e-6	56	3.583	6.8209e-4	53.7%
500	10	1e-7	67	4.233	6.5260e-5	44.6%
500	10	1e-8	78	4.793	6.2536e-6	35.5%
500	10	1e-9	89	5.431	6.0071e-7	26.4%
500	10	1e-12	121	6.890	6.5984e-10	0.0%
1000	2	1e-1	8	0.480	1.7260e+2	97.9%
1000	2	1e-3	68	3.873	2.3425e+0	81.8%
1000	2	1e-5	135	7.592	2.4575e-2	63.9%
1000	2	1e-6	169	9.491	2.4586e-3	54.8%
1000	2	1e-7	203	11.169	2.4696e-4	45.7%
1000	2	1e-8	237	13.045	2.4873e-5	36.6%
1000	2	1e-9	272	14.946	2.3484e-6	27.3%
1000	2	1e-12	374	20.246	2.4149e-9	0.0%
1000	10	1e-1	6	0.918	8.2385e+1	96.8%
1000	10	1e-3	36	5.069	1.1377e+0	81.0%
1000	10	1e-5	70	9.293	1.1391e-2	63.0%
1000	10	1e-6	87	11.533	1.1417e-3	54.0%
1000	10	1e-7	104	13.653	1.1444e-4	45.0%
1000	10	1e-8	121	15.576	1.1468e-5	36.0%
1000	10	1e-9	138	16.951	1.1462e-6	27.0%
1000	10	1e-12	189	24.219	1.1569e-9	0.0%
