Simulating N=100, trials=10
Algorithm	Avg Battles	Avg Kendall Tau
Ford-Johnson	525.70	0.8937
Merge Sort	543.80	0.9049
Shellsort	719.50	0.9446
Quicksort	647.20	0.8359
Bubble Sort	4884.40	0.9709
Selection Sort	4950.00	0.9339
Insertion Sort	2581.00	0.8063
Binary Insertion	529.90	0.8953
Gnome Sort	4895.60	0.9660
Stooge Sort	4950.00	0.3124
Bogosort	4950.00	0.9789
Full Rank	4950.00	1.0000
Cycle Sort	4950.00	0.3362
Bitonic Sort	1334.00	0.9477
Heap Sort	147.20	0.4650
Comb Sort	1201.00	0.9897
Tournament Sort	556.40	0.8895
Odd-Even Sort	4682.70	0.9896
Slowsort	4950.00	0.4645
Pancake Sort	4950.00	0.9762
Cocktail Shaker	4011.00	0.9802
Bozosort	4950.00	0.5992
Tree Sort	598.10	0.8354
BogoBogoSort	4950.00	0.0487
Stalin Sort	99.00	0.1055
Thanos Sort	190.00	0.5265
Miracle Sort	99.00	0.5165
Intelligent Design	0.00	0.0331
Quantum Bogo	1.40	-0.0349
Intro Sort	445.40	0.8566
Strand Sort	705.50	0.8321
Patience Sort	243.70	0.4525
Smooth Sort	147.00	0.4847
