Simulating N=100, trials=250 with 2 workers
Algorithm	Avg Battles	Avg Kendall Tau	Duplicates
Tournament Sort	558.68	1.0000	NO
Recursive Bubble	2579.20	1.0000	YES
Odd-Even Sort	2599.20	1.0000	YES
Recursive Insertion	2562.93	1.0000	NO
Recursive Selection	2200.96	1.0000	YES
Recursive Cocktail	2554.88	1.0000	YES
Recursive Gnome	2592.81	1.0000	YES
Recursive Binary Insertion	531.10	1.0000	NO
Recursive Double Selection	2339.21	1.0000	YES
Recursive Shellsort	627.72	1.0000	YES
Recursive Comb Sort	718.62	1.0000	YES
Recursive Odd-Even Sort	2601.19	1.0000	YES
Binary Gnome	531.10	1.0000	NO
Binary Shell	671.32	1.0000	YES
Binary Patience	613.18	1.0000	YES
Binary Merge	785.57	1.0000	NO
Binary Bottom-up Merge	835.62	1.0000	NO
Budgeted Merge Sort	520.00	0.9666	NO
Ford-Johnson (Quick)	526.83	1.0000	NO
Merge Sort	542.17	1.0000	NO
Bottom-up Merge Sort	558.79	1.0000	NO
Natural Merge Sort	573.88	1.0000	YES
Ping-pong Merge Sort	558.33	1.0000	NO
3-way Merge Sort	568.56	1.0000	NO
4-way Merge Sort	543.71	1.0000	NO
In-place Merge Sort	541.97	1.0000	NO
Rotation Merge Sort	713.22	1.0000	NO
Timsort	532.32	1.0000	YES
Powersort	558.03	1.0000	YES
Parallel Merge Sort	558.33	1.0000	NO
Hayate-Shiki	1022.55	1.0000	YES
Shellsort	630.09	1.0000	YES
Quicksort (RTL)	645.00	1.0000	NO
Binary Quicksort	650.22	1.0000	NO
Quicksort (LTR)	647.62	1.0000	NO
Quicksort (Random)	647.93	1.0000	NO
Quicksort (Middle)	646.31	1.0000	NO
Quicksort (Mo3)	680.80	1.0000	YES
Quicksort (Ninther)	563.19	1.0000	YES
Quicksort (Hoare)	646.31	1.0000	YES
3-Way Quicksort	645.83	1.0000	NO
Dual-Pivot Quicksort	647.59	1.0000	NO
Triple-Pivot Quicksort	604.28	1.0000	YES
Stable Quicksort	652.06	1.0000	NO
BlockQuicksort	717.82	1.0000	NO
PDQSort	729.60	1.0000	YES
Parallel Quicksort	649.76	1.0000	NO
Bubble Sort	2581.10	1.0000	YES
Bucket Sort	770.53	1.0000	NO
Selection Sort	2210.63	1.0000	YES
Insertion Sort	2567.00	1.0000	NO
I Can't Believe It Can Sort	2567.80	1.0000	YES
Binary Insertion	530.27	1.0000	NO
Gnome Sort	2562.44	1.0000	YES
Stooge Sort	686.78	1.0000	YES
Slowsort	588.77	0.9430	YES
Pancake Sort	1251.63	1.0000	YES
Cocktail Shaker	2584.71	1.0000	YES
Tree Sort	648.08	1.0000	NO
BogoBogoSort	26.53	0.0139	YES
Stalin Sort	99.00	0.0444	NO
Thanos Sort	99.00	0.4985	YES
Miracle Sort	99.00	0.4935	NO
Intelligent Design	0.00	-0.0016	NO
Quantum Bogo	1.74	0.0022	NO
Intro Sort	720.58	1.0000	NO
Strand Sort	1120.03	1.0000	YES
Patience Sort	1007.38	1.0000	YES
Heap Sort (Smooth Proxy)	716.69	1.0000	YES
Circle Sort	676.44	1.0000	YES
Double Selection	2333.40	1.0000	YES
Cocktail Selection	2119.07	1.0000	YES
Socialist Sort	0.00	0.0010	NO
Genghis Khan Sort	99.00	0.3444	NO
Hater Sort	187.88	0.5640	YES
Exit Sort	0.00	-0.0013	NO
Random Sort	221.85	0.5770	YES
Silly Sort	202.04	0.1279	YES
Sleep Sort	0.00	0.0054	NO
Batcher Odd-Even	626.10	1.0000	YES
Bose-Nelson	694.25	1.0000	YES
Exchange Sort	2570.02	1.0000	YES
Bingo Sort	2217.54	1.0000	YES
Cocktail Bounds	2566.19	1.0000	YES
Bottom-up Heap	599.70	1.0000	YES
Weak Heap	581.14	1.0000	YES
Smoothsort	775.66	1.0000	YES
Splay Sort	667.68	1.0000	NO
Cartesian Tree	645.11	1.0000	YES
Treap Sort	648.41	1.0000	NO
Skiplist Sort	675.78	1.0000	YES
Adaptive Shivers	572.29	1.0000	YES
Shivers Sort	574.32	1.0000	YES
Augmented Shivers	574.58	1.0000	YES
Peeksort	718.55	1.0000	YES
Library Sort	537.90	1.0000	YES
Sample Sort	640.46	1.0000	YES
Funnel Sort	582.40	1.0000	NO
Quadsort	571.38	1.0000	YES
Piposort	599.32	1.0000	YES
Replacement Selection	682.91	1.0000	YES
Polyphase Merge	684.23	1.0000	YES
BFPRT Quicksort	673.62	1.0000	YES
Shear Sort	806.85	1.0000	YES
PESort	701.62	1.0000	YES
Permutation Sort	1.74	-0.0006	YES
Less Bogo	880.39	1.0000	YES
Exchange Bogo	804.34	1.0000	YES
Bubble Bogo	2618.13	1.0000	YES
Odd-Even Bogo	2633.71	1.0000	YES
Bovo Sort	801.68	1.0000	YES
Bozo Sort	784.76	1.0000	YES
Bogosort	806.66	1.0000	YES
Full Rank	806.34	1.0000	NO
Cycle Sort	651.99	1.0000	YES
Bitonic Sort	759.95	1.0000	YES
Heap Sort	717.39	1.0000	YES
Comb Sort	718.82	1.0000	YES
